"x_blur","y_blur","fitness"
12,7,0.972441
13,7,0.940945
14,7,0.964567
15,7,0.96063
16,7,0.972441
17,7,0.948819
18,7,0.976378
19,7,0.968504
20,7,0.968504
21,7,0.972441
22,7,0.968504
23,7,0.972441
24,7,0.968504
25,7,0.980315
26,7,0.948819
27,7,0.968504
28,7,0.968504
29,7,0.972441
30,7,0.956693
31,7,0.952756
32,7,0.964567
33,7,0.980315
34,7,0.984252
35,7,0.972441
36,7,0.964567
37,7,0.976378
38,7,0.948819
39,7,0.980315
40,7,0.96063
41,7,0.972441
42,7,0.976378
43,7,0.952756
44,7,0.968504
45,7,0.968504
0,8,0.870079
1,8,0.897638
2,8,0.929134
3,8,0.929134
4,8,0.944882
5,8,0.937008
6,8,0.929134
7,8,0.948819
8,8,0.956693
9,8,0.948819
10,8,0.976378
11,8,0.956693
12,8,0.944882
13,8,0.952756
14,8,0.968504
15,8,0.964567
16,8,0.948819
17,8,0.972441
18,8,0.964567
19,8,0.980315
20,8,0.964567
21,8,0.984252
22,8,0.956693
23,8,0.964567
24,8,0.944882
25,8,0.96063
26,8,0.964567
27,8,0.952756
28,8,0.972441
29,8,0.964567
30,8,0.980315
31,8,0.964567
32,8,0.968504
33,8,0.964567
34,8,0.956693
35,8,0.952756
36,8,0.980315
37,8,0.972441
38,8,0.968504
39,8,0.972441
40,8,0.972441
41,8,0.968504
42,8,0.96063
43,8,0.964567
44,8,0.976378
45,8,0.968504
0,9,0.854331
1,9,0.917323
2,9,0.929134
3,9,0.92126
4,9,0.905512
5,9,0.933071
6,9,0.937008
7,9,0.96063
8,9,0.956693
9,9,0.964567
10,9,0.964567
11,9,0.96063
12,9,0.948819
13,9,0.968504
14,9,0.956693
15,9,0.972441
16,9,0.980315
17,9,0.96063
18,9,0.968504
19,9,0.972441
20,9,0.976378
21,9,0.968504
22,9,0.968504
23,9,0.956693
24,9,0.964567
25,9,0.972441
26,9,0.980315
27,9,0.968504
28,9,0.972441
29,9,0.984252
30,9,0.96063
31,9,0.96063
32,9,0.968504
33,9,0.96063
34,9,0.976378
35,9,0.980315
36,9,0.972441
37,9,0.972441
38,9,0.964567
39,9,0.980315
40,9,0.96063
41,9,0.972441
42,9,0.968504
43,9,0.952756
44,9,0.952756
45,9,0.972441
0,10,0.854331
1,10,0.897638
2,10,0.917323
3,10,0.933071
4,10,0.925197
5,10,0.96063
6,10,0.940945
7,10,0.964567
8,10,0.956693
9,10,0.956693
10,10,0.972441
11,10,0.948819
12,10,0.964567
13,10,0.964567
14,10,0.976378
15,10,0.96063
16,10,0.956693
17,10,0.968504
18,10,0.972441
19,10,0.964567
20,10,0.968504
21,10,0.964567
22,10,0.964567
23,10,0.972441
24,10,0.972441
25,10,0.972441
