"x_blur","y_blur","fitness"
15,8,0.948819
16,8,0.944882
17,8,0.944882
18,8,0.952756
19,8,0.96063
20,8,0.937008
21,8,0.937008
22,8,0.952756
23,8,0.948819
24,8,0.952756
25,8,0.964567
26,8,0.96063
27,8,0.944882
28,8,0.956693
29,8,0.964567
30,8,0.952756
31,8,0.956693
32,8,0.96063
33,8,0.937008
34,8,0.948819
35,8,0.948819
36,8,0.940945
37,8,0.937008
38,8,0.948819
39,8,0.952756
40,8,0.944882
41,8,0.952756
42,8,0.929134
43,8,0.944882
44,8,0.948819
45,8,0.952756
46,8,0.937008
47,8,0.96063
48,8,0.940945
49,8,0.940945
50,8,0.944882
0,9,0.933071
1,9,0.964567
2,9,0.944882
3,9,0.929134
4,9,0.964567
5,9,0.944882
6,9,0.944882
7,9,0.948819
8,9,0.944882
9,9,0.933071
10,9,0.952756
11,9,0.964567
12,9,0.964567
13,9,0.929134
14,9,0.96063
15,9,0.925197
16,9,0.956693
17,9,0.944882
18,9,0.952756
19,9,0.948819
20,9,0.929134
21,9,0.925197
22,9,0.968504
23,9,0.929134
24,9,0.944882
25,9,0.937008
26,9,0.937008
27,9,0.952756
28,9,0.964567
29,9,0.944882
30,9,0.944882
31,9,0.976378
32,9,0.940945
33,9,0.952756
34,9,0.940945
35,9,0.948819
36,9,0.964567
37,9,0.968504
38,9,0.96063
39,9,0.948819
40,9,0.948819
41,9,0.944882
42,9,0.944882
43,9,0.937008
44,9,0.956693
45,9,0.929134
46,9,0.940945
47,9,0.948819
48,9,0.933071
49,9,0.944882
50,9,0.944882
0,10,0.956693
1,10,0.940945
2,10,0.948819
3,10,0.933071
4,10,0.964567
5,10,0.948819
6,10,0.944882
7,10,0.944882
8,10,0.96063
9,10,0.96063
10,10,0.96063
11,10,0.929134
12,10,0.944882
13,10,0.929134
14,10,0.952756
15,10,0.944882
16,10,0.96063
17,10,0.937008
18,10,0.952756
19,10,0.92126
20,10,0.952756
21,10,0.940945
22,10,0.937008
23,10,0.952756
24,10,0.948819
25,10,0.952756
26,10,0.952756
27,10,0.956693
28,10,0.937008
29,10,0.952756
30,10,0.944882
31,10,0.944882
32,10,0.952756
33,10,0.96063
34,10,0.933071
35,10,0.952756
36,10,0.972441
37,10,0.96063
38,10,0.948819
39,10,0.944882
40,10,0.929134
41,10,0.956693
42,10,0.944882
43,10,0.964567
44,10,0.948819
45,10,0.940945
46,10,0.944882
47,10,0.940945
48,10,0.952756
49,10,0.944882
50,10,0.940945
0,11,0.956693
1,11,0.948819
2,11,0.964567
3,11,0.956693
4,11,0.944882
5,11,0.952756
6,11,0.940945
7,11,0.944882
8,11,0.956693
9,11,0.956693
10,11,0.940945
11,11,0.940945
12,11,0.956693
13,11,0.964567
14,11,0.952756
15,11,0.948819
16,11,0.940945
17,11,0.937008
18,11,0.96063
19,11,0.952756
20,11,0.940945
21,11,0.948819
22,11,0.948819
23,11,0.948819
24,11,0.952756
25,11,0.964567
26,11,0.948819
27,11,0.948819
28,11,0.96063
29,11,0.956693
30,11,0.952756
31,11,0.964567
32,11,0.956693
33,11,0.940945
34,11,0.944882
35,11,0.944882
36,11,0.940945
37,11,0.948819
38,11,0.948819
39,11,0.944882
40,11,0.925197
41,11,0.956693
42,11,0.929134
43,11,0.952756
44,11,0.952756
45,11,0.944882
46,11,0.940945
47,11,0.948819
48,11,0.937008
49,11,0.940945
50,11,0.948819
0,12,0.933071
1,12,0.96063
2,12,0.940945
3,12,0.952756
4,12,0.933071
5,12,0.952756
6,12,0.929134
7,12,0.96063
8,12,0.948819
9,12,0.937008
10,12,0.929134
11,12,0.937008
12,12,0.940945
13,12,0.96063
14,12,0.952756
15,12,0.937008
16,12,0.952756
17,12,0.940945
18,12,0.929134
19,12,0.940945
20,12,0.952756
21,12,0.940945
22,12,0.952756
23,12,0.948819
24,12,0.937008
25,12,0.940945
26,12,0.948819
27,12,0.944882
28,12,0.96063
29,12,0.933071
30,12,0.968504
31,12,0.96063
32,12,0.952756
33,12,0.940945
34,12,0.956693
35,12,0.937008
36,12,0.964567
37,12,0.940945
38,12,0.956693
39,12,0.944882
40,12,0.944882
41,12,0.92126
42,12,0.944882
43,12,0.952756
44,12,0.940945
45,12,0.929134
46,12,0.92126
47,12,0.933071
48,12,0.944882
49,12,0.937008
50,12,0.933071
0,13,0.940945
1,13,0.937008
2,13,0.956693
3,13,0.948819
4,13,0.948819
5,13,0.944882
6,13,0.948819
7,13,0.96063
8,13,0.956693
9,13,0.952756
10,13,0.956693
11,13,0.929134
12,13,0.944882
13,13,0.956693
14,13,0.944882
15,13,0.956693
16,13,0.944882
17,13,0.913386
18,13,0.948819
19,13,0.952756
20,13,0.948819
21,13,0.948819
22,13,0.956693
23,13,0.929134
24,13,0.952756
25,13,0.956693
26,13,0.948819
27,13,0.948819
28,13,0.944882
29,13,0.952756
30,13,0.929134
31,13,0.937008
32,13,0.952756
33,13,0.944882
34,13,0.948819
35,13,0.952756
36,13,0.972441
37,13,0.944882
38,13,0.940945
